Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max,is_safe_pred,safe_probability
BO_Trial_0023,0.8401571106933331,0.0780782734104958,0.6495561090573769,0.2076676352482949,1.3120575198121835,0.0448698322083319,-0.1538584,-31.850399,9.195052,34.127556,0.0035265977,0.018488068,-2.8481102,-5.826507,-2.7482064,26.16163,0.0018658042,0.008185853,-2.7506354,64.71292,-93.58356,1,0.7395054480126746
BO_Trial_0025,1.0784075435511933,0.0820267418767212,0.6817783508056237,0.1522840772160266,1.421656808443735,0.0564191427357059,-0.14616859,-40.734283,-3.1598592,45.051334,0.003854744,0.0020931768,-4.116597,1.1351221,-3.36724,29.524654,0.0020746128,0.016485468,-3.8247623,73.045425,-94.09499,1,0.6540061274724832
BO_Trial_0029,0.9100461753973604,0.0897990461563908,0.6658467054993181,0.2151717384278158,1.291686502237216,0.045050796097918,-0.15999633,-32.957912,9.9916725,34.362503,0.0035079715,0.0071147056,-3.1188118,-5.7646065,-2.7610753,25.249672,0.0017876917,0.009342676,-2.9731605,67.05343,-97.019745,1,0.5596153614269844
BO_Trial_0037,0.9081914224533714,0.0868204233160069,0.6990406155398184,0.2274122958629773,1.4212496890171566,0.0640942212288536,-0.1442213,-32.978977,8.068492,34.341496,0.003474447,0.0024994323,-2.9427295,-4.579999,-2.325805,24.592388,0.0016351576,-0.0013979524,-2.8283095,62.718655,-89.722916,1,0.6727152559304425
BO_Trial_0040,0.8290170378791026,0.0881103882130387,0.7164114593684701,0.2259374756656572,1.288557447890495,0.0728285394158462,-0.16416666,-36.724106,-2.6655676,41.624844,0.0037016068,0.040790044,-3.531904,-4.5401278,-3.4316432,26.44164,0.0018409276,0.008165866,-3.4073505,73.34027,-89.16282,1,0.734721105298035
BO_Trial_0048,0.9700835677069404,0.0627863292980601,0.6790645122625776,0.2027098136644549,1.3093397591626672,0.0699477379805015,-0.15798256,-36.97763,5.760238,40.5128,0.00396966,0.041655097,-3.2868564,-4.9781265,-3.1822112,28.725388,0.001966329,-0.018092137,-3.2896054,67.41767,-89.76538,1,0.5838020687368103
BO_Trial_0050,0.877456954669291,0.087064332332624,0.7117701919164162,0.2193970538786907,1.3938680440380198,0.0474231641062673,-0.14751093,-33.867676,8.551157,35.33151,0.0034252787,0.022777667,-3.0210958,-3.423183,-2.5947776,25.0554,0.0016744857,0.004836117,-2.938385,65.26956,-99.55491,1,0.6714323006699223
BO_Trial_0057,0.9816819464200996,0.0791089713516764,0.6752812281995533,0.2225761116276952,1.5392706779472936,0.0541138998030773,-0.131427,-35.572033,6.9264665,37.423935,0.0035287866,0.037755318,-2.8962612,-4.1859884,-2.3120162,26.650946,0.0017742725,-0.01502059,-2.9068456,62.755802,-94.82839,1,0.6476837680575157
BO_Trial_0060,0.8462796748388697,0.0886137389566127,0.6931716470350185,0.2982638041842625,1.2781989743284758,0.0577534947924757,-0.16022073,-36.790115,1.2951163,40.014595,0.0034517318,0.02451459,-3.5425463,-5.839079,-2.9245744,25.845009,0.0017510424,-0.008363605,-3.4395144,71.78747,-94.955086,1,0.5184432883778052
BO_Trial_0064,0.9923652458998828,0.0828792146992965,0.6013304412271995,0.2134726853776383,1.2224377522931291,0.0503955450909976,-0.160614,-36.040405,9.895769,39.251827,0.0035314711,0.038580745,-3.111624,-4.5079994,-2.7536206,27.432384,0.0018878102,0.008069579,-3.0297773,68.07545,-95.8792,1,0.557883758886645
BO_Trial_0067,0.91709159853592,0.0850720990465331,0.6811553347090131,0.2527883504346147,1.3297217302980304,0.041560578326432,-0.15539251,-34.060474,8.157906,35.77171,0.0034911027,0.023371391,-2.9470954,-5.4822173,-2.6533747,25.447174,0.001712164,-0.00928057,-2.8870385,65.31428,-100.99241,1,0.5505532809360028
BO_Trial_0068,0.8173875192300949,0.0865533477437003,0.6963567689141209,0.2193161652778991,1.2588482362376503,0.0465393810395571,-0.16360761,-33.759743,5.9455295,35.992527,0.00348988,0.0517935,-3.1111557,-6.1693444,-3.0424538,25.622393,0.0017706568,0.012823409,-3.0625818,68.971596,-98.14377,1,0.588498564484185
BO_Trial_0070,0.9761200912732172,0.0891169007163098,0.6896063508061832,0.2075131915819505,1.6050949311837894,0.0671863858852254,-0.12454594,-32.751957,7.161655,35.329254,0.003442152,-0.005219192,-3.0484812,-4.8255653,-2.2490096,25.610867,0.0017239763,-0.0008828841,-2.9212186,62.260357,-87.94555,1,0.6586807418312458
