Rank,Label,Source_Draft_Row_ID,P1,P2,P3,P4,P5,P6,WarpMax_pred,T_Tip_Peel_pred,Die_SY_Max_pred,B_Avg_Peel_pred,B_Tip_SEQV_pred,T_Tip_Strain_pred,T_Tip_SEQV_pred
1,"Knee Point (추천, 최적 밸런스)",109,0.8005012388824999,0.0898997732503352,0.6449450704909548,0.29939804786270957,1.7471202083853983,0.042671777968805474,0.14128277,32.093376,85.1544,0.021965109,32.177883,0.0033118913,36.883526
2,WarpMax 최소 우선,109,0.8137163582114413,0.08594167057826463,0.6449485480210065,0.2993986770569919,1.7996997135225252,0.040100662678771166,0.13868941,32.530457,85.97286,0.02185323,32.281208,0.0033145174,37.312386
3,T_Tip_Peel 최소 우선,520,0.8005009455525411,0.0898984429226153,0.6047695194777584,0.21325247929694102,1.2513924945112276,0.05797219233185396,0.15657766,31.921404,83.89846,0.029758729,31.583893,0.003317983,36.563805
4,파레토 중간 트레이드오프,109,0.8092855649202672,0.08989959578567834,0.6449494499573091,0.2993988840259473,1.7996995376472413,0.04010063011105688,0.13888867,32.17542,85.751015,0.021486621,32.149708,0.003295358,37.006924
5,제약조건 안전 마진 최고 (대체),109,0.8005141422320767,0.0898997732503352,0.6449449721857691,0.29939878542119874,1.7471202083853983,0.04295650784459172,0.14131807,32.09279,85.114784,0.021926142,32.178707,0.0033121048,36.87333
