Rank,Label,Source_Draft_Row_ID,P1,P2,P3,P4,P5,P6,WarpMax_pred,T_Tip_Peel_pred,Die_SY_Max_pred,B_Avg_Peel_pred,B_Tip_SEQV_pred,T_Tip_Strain_pred,T_Tip_SEQV_pred,WarpMax_sigma,T_Tip_Peel_sigma,Die_SY_Max_sigma,B_Avg_Peel_sigma,B_Tip_SEQV_sigma,T_Tip_Strain_sigma,T_Tip_SEQV_sigma
1,"Knee Point (추천, 최적 밸런스)",382,0.8347797547404573,0.08989924483704281,0.6388600334931885,0.2941947344903783,1.7996959827139356,0.07999832640521935,0.09953307279857139,27.358826701098465,67.3686902199163,0.019292605851891718,24.924674100075677,0.0029028946183285304,32.035315327432016,0.0033781436392999672,2.010294267657936,2.959875684895155,0.009416842596834445,0.9994501065596524,0.003210531023494598,2.3890167143832732
2,WarpMax 최소 우선,514,0.8005013512427454,0.0754429040322363,0.6001069544097117,0.27404649162443434,1.799699180394515,0.07711716888050746,0.09716681235151833,30.1311496968368,69.62655092255864,0.017677771714541678,27.210138265471805,0.0029743652192655424,34.29725424331951,0.0033517070678747173,1.5689698705240371,2.5893806670006474,0.00893955370730265,0.8895600145512165,0.0032017004905050355,2.2758239242327964
3,T_Tip_Peel 최소 우선,382,0.8347797836226516,0.08989996157816901,0.7197542580191075,0.29419433801405015,1.5672943446596481,0.07999843565325986,0.12562836480336134,26.928158935469746,72.34757947594221,0.013011206415339677,24.24889028438226,0.0032209302185646875,31.26475299901619,0.0032678597419169672,1.9530907683639,2.9085130947235194,0.009109626633194874,0.9281826709964104,0.0032187722661901055,2.309732675473701
4,파레토 중간 트레이드오프,382,0.8347806313345395,0.07975219787836083,0.6036558017598372,0.2941951785052998,1.799699576984982,0.07999823700171463,0.09762175594866601,28.212054236490346,66.36201101532964,0.024041405109522823,26.039134485522627,0.002976833209846865,33.4604382424193,0.0033641663282998166,1.7800034623854857,2.944158792681704,0.009060295138873815,0.915448957140418,0.003205760378048257,2.2983953769936716
5,σ 총합 최소 (최고 신뢰도) (대체),382,0.8347797547404573,0.08989793544646818,0.6388600334931885,0.2941947344903783,1.7996959827139356,0.07999832640521935,0.09953305334605715,27.35889725194949,67.36869906847909,0.01929323034187365,24.924800584921456,0.002902911926607982,32.03541575272409,0.003378138425988523,2.010254166938641,2.9598709402775243,0.009416778363715872,0.9994335088863179,0.0032105297778274285,2.388995893520221
