WarpMax,Die_SY_Max,B_Avg_Peel,B_Tip_SEQV,T_Tip_Strain,T_Tip_Peel,T_Tip_SEQV
-0.081059050188,-67.78201842,-0.030232852119000002,23.37839406,0.0016737061248,-27.88109937,30.12176277
-0.07020516933115024,-50.64498865499166,-0.021775907908644407,19.4010200015192,0.0012334928808963273,-20.272033829499165,21.042505061702837
-0.06642057582417885,-43.651264004410265,-0.01861062234877901,17.390509314043825,0.0010675904436691565,-16.677984681939066,17.089616607806345
-0.06128830331240033,-33.15503557646745,-0.014744102810673456,14.172032149452422,0.0008497258993242721,-11.050019130508346,11.453094108608514
-0.060567805223510185,-31.329521572068035,-0.013937235902090986,13.597573162424876,0.0008493359315176127,-10.022808058139526,10.87499270348865
-0.05733868027690067,-23.080904911750416,-0.010929875949407931,11.21093090662312,0.0008161323737043793,-5.554677126835142,8.524412910845536
-0.05688241876600017,-21.620114074014193,-0.010406454940249558,10.785873194782138,0.0008342722697849926,-4.761772989233515,8.686739080351128
-0.05489163174914249,-15.125524966404841,-0.008428845518903352,9.058917949628967,0.0009025710032048664,-1.2724703796414443,9.889014342361854
-0.05461078240439662,-13.976941842514233,-0.007629124660330418,8.749199797698457,0.0009266320161388773,-0.6677091551678216,10.228708298869782
-0.053426108945157216,-8.857206405440234,-0.006124095825462834,7.515409831179716,0.0010193383366521912,2.045740036846703,12.357059787138981
-0.05326313773269291,-7.931725553777755,-0.005569378645770752,7.292354297586311,0.001045084472127045,2.503354308758639,12.66398989920075
-0.052603065357395035,-3.8728788908010854,-0.004443947706486786,6.421736681085727,0.0011383362405697913,4.614716426118281,14.652588068876044
-0.052518453560790775,-3.124420928244651,-0.004051559133409019,6.264096342901378,0.0011647871666089482,4.958105346666738,14.888668430745826
-0.0521962628187884,0.11292900386887636,-0.003215629281840138,5.6593882315202,0.001253718949172905,6.605173072255342,16.554649114881887
-0.05216288638863644,0.7205201758601111,-0.0029321505024553166,5.550693364417988,0.0012805091951934142,6.8601031322093515,16.720775737302173
-0.05205403074744466,3.3179458236513355,-0.0023112864479035516,5.13923278126177,0.0013635682025600207,8.148996636925418,18.067172450551755
-0.05205328314537884,3.81292126196582,-0.0021020408217004884,5.066598995194657,0.0013900471011980761,8.335411391235727,18.17359875830134
-0.05207483161874637,5.90838190428944,-0.0016388566464920784,4.793583156916778,0.0014653830805922705,9.347015365568865,19.245006014127295
-0.05209401882613147,6.312841276764066,-0.0014810592563083852,4.746933986819199,0.0014909263898916112,9.480306028545074,19.303199758186977
-0.05219114921855272,8.011699645304674,-0.0011328528685314817,4.571048172834391,0.0015576688323635935,10.276166227022955,20.14873029628798
-0.05222169418797046,8.343002671649245,-0.001011311476983068,4.542662478455385,0.0015819449652471034,10.368224913016277,20.169026984193653
-0.052358612246176627,9.726291585924042,-0.0007468982355525626,4.433345810993239,0.0016404333050926503,10.995304358336393,20.83237780687813
-0.05239480249708723,9.99815027389107,-0.0006513339507139567,4.4174983741794245,0.0016633352618740068,11.055348714812606,20.82344513967947
-0.05254857092067258,11.128667263978297,-0.0004481685029515455,4.352807336457846,0.0017144621802074374,11.549661145794241,21.340935861423205
-0.052586679468092534,11.351982816334308,-0.0003715268107970208,4.345389825384891,0.001735996311861461,11.58486441710935,21.309819060121452
-0.05274300240115693,12.278785495481218,-0.00021338200053062353,4.310022252314148,0.0017807638107874208,11.97420049203506,21.710845565691987
-0.05278067035331695,12.46227935581803,-0.00015075903537093612,4.308162930958223,0.0018009854734055636,11.990173326490819,21.66319004875167
-0.05293101306341344,13.22399381942404,-2.5966845166515195e-05,4.291690926779174,0.0018403256937586476,12.296124162236644,21.971290852630215
-0.052966815948303506,13.374694154077215,2.6091135565617056e-05,4.293418972512396,0.0018593080854436728,12.297269613358099,21.911579465326376
-0.05310643917284887,14.001967731936562,0.00012594405870197586,4.288854780218238,0.0018940310501841739,12.536725608364357,22.145539508943656
-0.05313958343079867,14.125571527357263,0.00016990180556598347,4.292835159227379,0.0019118520006786437,12.52651627245576,22.077317958411935
-0.05326620792759241,14.642892234033807,0.0002508930794617889,4.295555884851085,0.001942642378218343,12.712778676093906,22.252130035677798
-0.053296318856003215,14.744045853882723,0.0002885278199851953,4.300893308306343,0.001959378233162642,12.693961924876879,22.178192768015858
-0.053409221647378054,15.171110022820118,0.00035509112589101916,4.307876073618656,0.0019868083694800543,12.837570536670702,22.305842384570536
-0.05343619173799733,15.253625254774205,0.0003876867081519075,4.313971880385476,0.0020025315770650165,12.812327766818866,22.228385345192404
-0.05353558499514291,15.606371234208682,0.00044302046378076203,4.323251477684975,0.00202707887514889,12.921690229628966,22.318485145035478
-0.05355937898749721,15.673399766383971,0.0004712861668359626,4.3296316573871865,0.0020418603735716068,12.89179091320242,22.239273977951168
-0.05364570441965559,15.964831488996662,0.0005169384376034085,4.339698992755843,0.002063932713668952,12.97376166891486,22.299704993370202
-0.05366648215148514,16.018975489120617,0.000541639400518521,4.346110872591987,0.0020778358958965064,12.94058749593531,22.22007617804424
-0.0537407843572495,16.259695906518782,0.0005795965736469916,4.3562053337979965,0.0020977665983543236,13.00059543784808,22.257059699287566
-0.053758766207351046,16.303114559449078,0.0006013025595053525,4.3624872039452,0.0021108500718704172,12.96524169703172,22.17804239447955
-0.05382222603800747,16.50182071173205,0.0006330039755945184,4.372153382596327,0.0021289186820660938,13.007664428179883,22.196592371426544
-0.05383768713458853,16.536312071654425,0.0006523059680510334,4.378235535063856,0.0021412357693344243,12.970993255790486,22.11895843603798
-0.05389159197121002,16.700161112496662,0.0006793105085670087,4.387310450968072,0.0021576748617038693,12.999351218378965,22.12308035836978
-0.05390491492079774,16.727211605847245,0.0006967492853457997,4.393222140726587,0.0021692720938285897,12.961998473025876,22.047358184673204
-0.053950809533304216,16.862066158864355,0.000720477785583402,4.401843027416445,0.002184269901183481,12.97901333161728,22.040136768692406
-0.05396227001377024,16.882927857522123,0.0007362463640593372,4.407559025265526,0.002195192681842275,12.941505797251253,21.966746637500833
-0.05400129981598536,16.99367082660977,0.0007570921813945355,4.415689264784724,0.0022089166186549207,12.949477808480383,21.95079294580092
-0.05401112255966081,17.009400394487482,0.0007713958936018034,4.4211879642944085,0.002219208089386853,12.912242255211185,21.88004789210935
-0.05404422345626795,17.100099895041737,0.0007898042524781794,4.428797826739358,0.0022318037276963815,12.913092122502922,21.85751540566277
-0.05405261510216645,17.111583321607263,0.000802813121639429,4.434069562058765,0.0022415036210859515,12.876458737792989,21.78962844292863
-0.054080621804538105,17.185623973952,0.0008191462520357579,4.44116180205601,0.002253095581306703,12.871750392232888,21.762254564560518
-0.054087769496882175,17.19360589500751,0.0008310034928510008,4.44620484272667,0.0022622409272346914,12.835971134729549,21.69735888820117
-0.05411141780543264,17.253802963059268,0.0008455559465419859,4.452800247025543,0.002272936512057333,12.826979868741237,21.666542630833476
-0.054117488876061944,17.25890938966277,0.0008563816644501184,4.457617267757679,0.0022815618102552167,12.792242545392321,21.604706993332638
-0.05413742106409232,17.307610265595574,0.0008693916768966561,4.4637462264767525,0.002291454030685117,12.780004633234558,21.571570447474958
-0.05414256387229733,17.31036549248414,0.000879289030524636,4.468342950601001,0.002299591333342525,12.746447202692405,21.51281598169658
-0.0541593368055278,17.349527273833473,0.0008909593092435615,4.474040118866444,0.0023087607075567575,12.731804982668613,21.47825565221995
-0.054163681763184014,17.350373397038815,0.0009000173542823151,4.478424045316152,0.002316440056818005,12.6995213001899,21.422561470181968
-0.05417777512782346,17.38162886801169,0.000910509630188364,4.4837246750852255,0.0023249567341753425,12.683156876737062,21.38728850838105
-0.054181436252536734,17.380934666913607,0.0009188036635540194,4.487903884035601,0.002332205818652329,12.65220890602212,21.334606297921955
-0.05419326151278518,17.40564504051085,0.0009282644659033348,4.492842077365318,0.002340131113131386,12.63467185688314,21.29917972629591
-0.05419633804643915,17.403721007619364,0.0009358663455748624,4.496825014880259,0.002346976078046482,12.60509480335142,21.2494371998702
-0.054206246931588105,17.423025054370616,0.0009444077284599917,4.501432848605258,0.0023543639226717445,12.586827804986644,21.214294698313022
-0.054208824848764485,17.42012953668781,0.0009513790700376711,4.505227974530384,0.002360828863719691,12.558633902951168,21.167402107015445
-0.054217116948872705,17.434975563375627,0.0009591054647180259,4.509534684466277,0.002367726689157446,12.53999045410768,21.132879091290903
-0.05421927046728193,17.431325810395244,0.0009655003889205552,4.513150347023915,0.0023738343781131888,12.513175911777546,21.088734809360187
-0.05422620031498735,17.442505758260435,0.0009725014795925959,4.517182005465275,0.0023802840689294076,12.494435587422371,21.05508541797496
-0.05422799341569591,17.438281146214106,0.0009783668456741568,4.52062611927308,0.002386055586109395,12.468982527514608,21.013578213900253
-0.05423377703532484,17.446456111154422,0.0009847170251607847,4.524406357098831,0.002392094395751732,12.450365375608095,20.980989864206595
-0.05423526459862889,17.441805746862272,0.0009901032937090317,4.5276866647846825,0.0023975495127750877,12.426246566353923,20.94200484350334
-0.054240084671762105,17.447524601123536,0.0009958699124639023,4.5312367001912355,0.002403210536930434,12.407923046095995,20.91061080524374
-0.054241313772164276,17.44257294329424,0.0010008183598922704,4.53436058308748,0.002408367800830718,12.385101854926127,20.874028382252504
-0.0542453247982649,17.446295301303003,0.0010060645111944115,4.537698843999291,0.0024136805165762107,12.367202322729968,20.84391850927087
-0.05424633569912379,17.441143305648584,0.0010106042126776752,4.540673204378715,0.00241855723975654,12.345637921459934,20.80961976281469
-0.054249668130448625,17.443249443379383,0.0010153760657758346,4.543816322887438,0.0024235483049003465,12.328259695726627,20.78084980594908
-0.054250495201560354,17.437980789837646,0.001019545287295868,4.546647960091528,0.0024281606307072247,12.307905826320951,20.748714696965358
-0.05425325899088627,17.438788479940317,0.0010238910877516777,4.5496106182438645,0.002432853726421252,12.291119681375209,20.721312597482054
-0.05425393147434353,17.43347144566277,0.0010277208178876877,4.552305963339816,0.0024372169817997997,12.27192796245576,20.691223805933642
-0.05425621912319236,17.433241610664442,0.0010316806895996746,4.555101303685518,0.0024416337885928047,12.255782500404843,20.665194495982888
-0.0542567619894715,17.427930794913607,0.0010351954816412606,4.557666216913648,0.0024457620693323543,12.237702081411937,20.63703721936102
-0.0542586515432717,17.42688335842738,0.0010388067025289649,4.560305700399792,0.0024499219235474376,12.222229162056761,20.6123706066899
-0.0542590859808432,17.4216223140288,0.0010420357339206135,4.562746174312814,0.0024538286470869993,12.205209513523371,20.58603358595409
-0.05426064301303435,17.419935772893158,0.001045329349884491,4.5652404938360185,0.002457749309408001,12.190425536126044,20.562703833234142
-0.05426098697350405,17.414760483657346,0.0010482910885516777,4.56756211198172,0.002461447069794203,12.174415385439065,20.53807974986394
-0.0542622665036866,17.412582448603924,0.0010513003848712814,4.569920818541444,0.0024651446990146832,12.16032742139274,20.516054046915276
-0.0542625351639149,17.407518829148167,0.0010540197358437397,4.572128825139441,0.002468645082088197,12.145275536348915,20.49303949503882
-0.05426358332459387,17.404972407642322,0.0010567656565939232,4.574360356983556,0.002472134330147905,12.131880552315526,20.472275555707014
-0.05426378958382663,17.400042786350582,0.001059265122980484,4.576459991962312,0.0024754484893508262,12.117736959930301,20.45077169608097
-0.05426464523132855,17.39722744346995,0.001061773259181273,4.578572033740443,0.0024787428758154466,12.105025339537564,20.43122243379341
-0.05426479993518255,17.39244614077713,0.0010640627221503757,4.580568059007847,0.002481881235141824,12.0917415981298,20.41113581965818
-0.054265495509131845,17.389442686165694,0.0010663543086327797,4.582567676133181,0.0024849931453418614,12.07969869548915,20.392750880616862
-0.05426560781512287,17.38482196945117,0.0010684560573580718,4.584465039164274,0.00248796537960144,12.067227024982888,20.37399127546703
-0.05426617056437968,17.381698049137313,0.0010705460755522913,4.5863590864905674,0.0024909060741950587,12.055834154497914,20.35671843137229
-0.054266248184128424,17.377244280758767,0.0010724726930116779,4.588162063837437,0.0024937214704174085,12.044129270964941,20.339202003562185
-0.05426670087315038,17.37405206239733,0.001074386749272596,4.589956297142279,0.0024965015705454966,12.033365169001252,20.322988213725377
