Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.780029, -0.113191475, -33.1954191, -4.97942991, 35.5939284, 1.899019141E-03, 6.395440616E-02, -2.69150624, -6.1668871, -2.77295018, 28.6502909, 2.029634562E-03, 1.521003003E-02, -2.80050049, 60.1365657, -86.076004
0.2, 119.35788, -0.110314722, -32.1531972, -4.60753041, 34.3148659, 1.84190237E-03, 6.229943724E-02, -2.599159, -6.12344134, -2.6753917, 28.0014575, 1.990750893E-03, 1.470757714E-02, -2.71157145, 58.9422111, -83.1691387
0.35, 116.039009, -0.103342141, -28.710866, -3.48313001, 30.205719, 1.644395506E-03, 5.569501526E-02, -2.29489473, -5.91068476, -2.38085029, 25.9331953, 1.859564533E-03, 1.322691254E-02, -2.41562314, 55.4696836, -75.0544371
0.575, 101.342377, -9.031410374E-02, -18.977323, -0.629489655, 19.2628057, 1.132472908E-03, 3.778831314E-02, -1.47226935, -4.96954056, -1.68989171, 20.3594245, 1.492541574E-03, 8.946330624E-03, -1.60503725, 46.9641933, -55.5887597
0.9125, 101.342377, -9.031072753E-02, -18.9159861, -0.674578821, 19.211158, 1.145385728E-03, 3.794860387E-02, -1.47263894, -4.92167723, -1.67869218, 20.2978545, 1.493277191E-03, 8.908093524E-03, -1.60431288, 46.9661865, -55.5730543
1.4125, 86.0318451, -8.168745534E-02, -10.0068474, 1.75545062, 10.7822167, 8.586059454E-04, 2.256700614E-02, -0.762357787, -3.82604613, -1.14822639, 15.5123893, 1.176813407E-03, 5.437966131E-03, -0.898185036, 39.6617622, -38.9784415
1.9125, 86.0318451, -8.168109943E-02, -9.98631446, 1.67574544, 10.7019919, 8.651976227E-04, 2.256228543E-02, -0.763718033, -3.77607126, -1.13252614, 15.4433762, 1.17684824E-03, 5.439256076E-03, -0.897349505, 39.6670198, -38.9833356
2.4125, 73.3296814, -7.670699791E-02, -3.01469384, 3.51253065, 9.08087737, 8.839122133E-04, 1.272314125E-02, -0.236498085, -2.77293013, -0.808734845, 12.0293467, 9.478981603E-04, 2.377593079E-03, -0.370433647, 34.0631657, -26.2412336
2.9125, 73.3296814, -7.669874923E-02, -3.04770916, 3.42488602, 8.88256962, 8.866184404E-04, 1.126802073E-02, -0.238752263, -2.73891812, -0.793965063, 11.9795031, 9.472416296E-04, 3.410016445E-03, -0.369934397, 34.0708141, -26.3200102
3.4125, 63.1908417, -7.393241013E-02, 2.34551003, 4.81051998, 12.3614066, 1.024910087E-03, 4.02276749E-03, 0.148581422, -1.87375341, -0.602044951, 9.57608429, 7.856858958E-04, 1.379958529E-03, 1.896209699E-02, 29.7601328, -16.5327162
3.9125, 63.1908417, -7.392241124E-02, 2.27463725, 4.71993094, 12.1265547, 1.029299755E-03, 3.232753255E-03, 0.146227793, -1.85429908, -0.586517669, 9.53716509, 7.8438223E-04, 2.006590465E-03, 1.952749153E-02, 29.7690773, -16.5979001
4.4125, 55.1812973, -7.250143772E-02, 6.44274937, 5.76797518, 15.9014931, 1.186482008E-03, -2.228860488E-03, 0.431265458, -1.12667928, -0.47753535, 7.86307401, 6.767924037E-04, 7.040812107E-04, 0.306991952, 26.430356, -9.02662007
4.9125, 55.1812973, -7.249073532E-02, 6.34547042, 5.67671238, 15.6559064, 1.193574489E-03, -2.666284423E-03, 0.428868219, -1.11803319, -0.461702699, 7.83268193, 6.752463431E-04, 1.086343205E-03, 0.307559909, 26.4398899, -9.08474099
5.4125, 48.8505592, -7.188258689E-02, 9.57720651, 6.47270365, 18.8768586, 1.346595855E-03, -6.790942662E-03, 0.64010501, -0.513186384, -0.404047831, 6.6863313, 6.17680978E-04, 2.319458111E-04, 0.521581207, 23.8323584, -3.17664723
5.9125, 48.8505592, -7.187180302E-02, 9.46208589, 6.38242442, 18.6272205, 1.356521961E-03, -7.039794444E-03, 0.63770842, -0.512657602, -0.388160546, 6.66216602, 6.167229646E-04, 4.726091072E-04, 0.522117178, 23.8420391, -3.23124304
6.4125, 43.8233604, -7.174322969E-02, 11.9794219, 6.98950424, 21.2346669, 1.497511245E-03, -1.017335949E-02, 0.795731343, -1.290093508E-02, -0.361518349, 5.90095698, 5.896748901E-04, -9.811784539E-05, 0.683024741, 21.7882471, 1.41819799
6.9125, 43.8233604, -7.173271394E-02, 11.8528512, 6.90138876, 20.9851422, 1.509845371E-03, -1.031733902E-02, 0.793371036, -1.849032582E-02, -0.345740674, 5.88112126, 5.890068147E-04, 5.866455236E-05, 0.683512921, 21.797802, 1.36560669
7.4125, 39.8074379, -7.18749123E-02, 13.8228859, 7.36597039, 23.0605569, 1.634389502E-03, -1.271686541E-02, 0.912810402, 0.392888089, -0.337140203, 5.39896717, 5.787851281E-04, -3.278212629E-04, 0.805803505, 20.1672091, 5.05306672
7.9125, 39.8074379, -7.18648628E-02, 13.6896325, 7.28083107, 22.8143182, 1.648454928E-03, -1.280076444E-02, 0.910513022, 0.382711639, -0.321600442, 5.38207575, 5.782566479E-04, -2.22106902E-04, 0.806238055, 20.1764746, 5.00192242
8.4125, 36.5799904, -7.214802392E-02, 15.2375983, 7.63712621, 24.4559799, 1.756059891E-03, -1.465410707E-02, 1.00173106, 0.720363338, -0.322861421, 5.09423228, 5.781815727E-04, -4.864621274E-04, 0.900204517, 18.8725457, 7.94658292
8.9125, 36.5799904, -7.213854817E-02, 15.1012158, 7.55549988, 24.2154439, 1.771258885E-03, -1.470274837E-02, 0.999515473, 0.70679211, -0.307666807, 5.07932342, 5.777806522E-04, -4.127252462E-04, 0.900584858, 18.8814249, 7.89677016
