Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.773186, -0.105639396, -35.4332369, -4.00790153, 36.9162952, 1.975328915E-03, -5.757584821E-03, -2.54829086, -3.17638024, -1.65066735, 24.006051, 1.543197975E-03, -1.481263458E-02, -2.53481769, 60.1140599, -97.3050034
0.2, 119.337654, -0.10329258, -34.3947278, -3.71768452, 35.733894, 1.925213979E-03, -5.258737454E-03, -2.46839917, -3.1345757, -1.62012201, 23.6426006, 1.523063948E-03, -1.424752769E-02, -2.46366329, 58.9532723, -94.108816
0.35, 115.993843, -9.747769841E-02, -30.8871193, -2.81914423, 31.812595, 1.742406617E-03, -4.621697897E-03, -2.19161452, -2.99865617, -1.49374594, 22.3351977, 1.445690451E-03, -1.260720934E-02, -2.21227954, 55.5213356, -85.0910476
0.575, 101.366852, -8.576785841E-02, -20.6071803, -0.439240382, 20.7787946, 1.236100469E-03, -3.963564456E-03, -1.3945673, -2.56742267, -1.07491489, 18.1535247, 1.191234152E-03, -9.825923725E-03, -1.47453299, 46.9192891, -63.0301381
0.9125, 101.366852, -8.576417909E-02, -20.5446069, -0.480104715, 20.7219224, 1.250008854E-03, -3.961282078E-03, -1.39513931, -2.54006396, -1.06972577, 18.1092807, 1.191615461E-03, -9.809888935E-03, -1.47380766, 46.9220977, -63.0137447
1.4125, 86.1545639, -7.729320484E-02, -10.9662209, 1.60381146, 11.5246954, 9.398677782E-04, -4.013087293E-03, -0.684293016, -2.09616951, -0.672650559, 14.2043709, 9.563549515E-04, -7.95112455E-03, -0.809012202, 39.438096, -43.9724953
1.9125, 86.1545639, -7.728589125E-02, -10.9504596, 1.53179, 11.4657948, 9.478217159E-04, -4.006173388E-03, -0.686031679, -2.06659384, -0.664513395, 14.1528638, 9.563697323E-04, -7.932527855E-03, -0.808089712, 39.4451809, -43.9779953
2.4125, 73.5250626, -7.218155623E-02, -3.518121, 3.1126444, 8.39792322, 9.423824331E-04, -3.718586894E-03, -0.160791524, -1.66902919, -0.40559612, 11.4502585, 7.935159504E-04, -6.209867857E-03, -0.314342977, 33.6600065, -29.3504615
2.9125, 73.5250626, -7.217303678E-02, -3.55946152, 3.03411466, 8.22255968, 9.458391487E-04, -3.710493668E-03, -0.163110122, -1.6483722, -0.396955287, 11.4098389, 7.931480291E-04, -6.193472012E-03, -0.313558161, 33.6689281, -29.3774574
3.4125, 63.4330559, -6.918530406E-02, 2.13502273, 4.22742131, 11.3538842, 1.075701051E-03, -2.718747006E-03, 0.219584717, -1.31033766, -0.232522256, 9.58344688, 6.837243346E-04, -5.311750329E-03, 4.743735205E-02, 29.1978197, -18.0715623
3.9125, 63.4330559, -6.917405958E-02, 2.05065812, 4.1451402, 11.1274748, 1.080378935E-03, -3.429000747E-03, 0.216640941, -1.29624533, -0.223445834, 9.55215874, 6.830857216E-04, -4.711395075E-03, 4.806748773E-02, 29.2088442, -18.1571389
4.4125, 55.4532776, -6.752515828E-02, 6.4029309, 5.04572122, 14.74435, 1.2345335E-03, -2.659346083E-03, 0.494493612, -1.01445733, -0.122040935, 8.34039003, 6.115305737E-04, -3.984685528E-03, 0.311116962, 25.7363958, -9.3979569
4.9125, 55.4532776, -6.751301296E-02, 6.29046377, 4.9625015, 14.5036032, 1.241602803E-03, -3.091392819E-03, 0.491485767, -1.00585181, -0.11240879, 8.31454397, 6.106173541E-04, -3.632594894E-03, 0.31174285, 25.7479897, -9.47648148
5.4125, 49.1422348, -6.670716009E-02, 9.6244525, 5.64352479, 17.6142916, 1.387584168E-03, -2.502758863E-03, 0.693703597, -0.772836376, -5.230752526E-02, 7.52591229, 5.65493589E-04, -2.963213671E-03, 0.503958691, 23.0320015, -2.64308967
5.9125, 49.1422348, -6.669480061E-02, 9.49328309, 5.56094865, 17.3673487, 1.396929932E-03, -2.835033186E-03, 0.690700074, -0.768399705, -4.237356351E-02, 7.50437282, 5.64435141E-04, -2.814113459E-03, 0.504556561, 23.043539, -2.71747675
6.4125, 44.1284981, -6.641089316E-02, 12.0579131, 6.07726646, 19.8811285, 1.526963144E-03, -2.401817343E-03, 0.838657866, -0.576373614, -8.854480449E-03, 7.00377118, 5.398292118E-04, -2.253037592E-03, 0.645861517, 20.9025249, 2.65580075
6.9125, 44.1284981, -6.639876533E-02, 11.9149763, 5.99643422, 19.6327326, 1.538177195E-03, -2.635759117E-03, 0.835698601, -0.575043936, 1.208696424E-03, 6.98561548, 5.392049714E-04, -2.187069356E-03, 0.646411135, 20.9138722, 2.58381255
7.4125, 40.1214218, -6.642810024E-02, 13.8970116, 6.38873211, 21.6217013, 1.65124722E-03, -2.32432026E-03, 0.944696489, -0.417016245, 1.801559144E-02, 6.67924069, 5.321988443E-04, -1.737769604E-03, 0.751105011, 19.2130237, 6.84121698
7.9125, 40.1214218, -6.641644225E-02, 13.7474729, 6.31042401, 21.3754242, 1.663859648E-03, -2.483337033E-03, 0.941814822, -0.418022738, 2.80802241E-02, 6.66368296, 5.31798491E-04, -1.706758022E-03, 0.751599943, 19.2240353, 6.77106313
8.4125, 36.8987122, -6.662397937E-02, 15.2860352, 6.60884679, 22.9366296, 1.761179436E-03, -2.258296084E-03, 1.02272683, -0.288071589, 3.472643892E-02, 6.48680001, 5.318512944E-04, -1.351076157E-03, 0.829861477, 17.8630342, 10.1680994
8.9125, 36.8987122, -6.66129226E-02, 15.1337236, 6.53359311, 22.6951956, 1.774753481E-03, -2.366194658E-03, 1.0199473, -0.290834413, 4.468968755E-02, 6.47323892, 5.314898059E-04, -1.336359301E-03, 0.830301333, 17.8735971, 10.099737
9.4125, 34.2912254, -6.691226561E-02, 16.3324885, 6.76054482, 23.9165058, 1.858276891E-03, -2.200000496E-03, 1.0804943, -0.184053506, 4.546741882E-02, 6.3813082, 5.350548051E-04, -1.053642884E-03, 0.889363876, 16.7773292, 12.8274048
9.9125, 34.2912254, -6.69018786E-02, 16.180225, 6.68868475, 23.681932, 1.872446891E-03, -2.274663058E-03, 1.07783342, -0.188125658, 5.524464032E-02, 6.36931255, 5.34721535E-04, -1.047735964E-03, 0.889750817, 16.7873721, 12.7609907
10.4125, 32.1699142, -6.723878239E-02, 17.1168019, 6.86090703, 24.6354136, 1.944225195E-03, -2.148174156E-03, 1.12350989, -0.100480473, 5.291706445E-02, 6.33181689, 5.401115888E-04, -8.206431586E-04, 0.934764182, 15.8991349, 14.963318
10.9125, 32.1699142, -6.722909316E-02, 16.9666406, 6.79263682, 24.4091341, 1.958701757E-03, -2.201557837E-03, 1.12097773, -0.105512702, 6.243928165E-02, 6.32109058, 5.398060872E-04, -8.201426056E-04, 0.935101503, 15.9086205, 14.8990588
11.4125, 30.4356899, -6.757047986E-02, 17.699502, 6.92272239, 25.1518877, 2.020611219E-03, -2.102202341E-03, 1.1557102, -3.368733843E-02, 5.874196155E-02, 6.31728562, 5.459891894E-04, -6.355145322E-04, 0.969746732, 15.1852201, 16.6856715
11.9125, 30.4356899, -6.75614893E-02, 17.5529273, 6.85813075, 24.9348773, 2.035171026E-03, -2.141789947E-03, 1.1533119, -3.940459718E-02, 6.795472245E-02, 6.3076295, 5.457131924E-04, -6.385102486E-04, 0.970038115, 15.1941352, 16.6237592
12.4125, 29.0118694, -6.788810694E-02, 18.1264695, 6.95562196, 25.5116063, 2.08882513E-03, -2.061494996E-03, 1.17992202, 1.932961613E-02, 6.394067488E-02, 6.3235962, 5.520517634E-04, -4.867082773E-04, 0.996960911, 14.6023535, 18.0789072
12.9125, 29.0118694, -6.787979801E-02, 17.9845263, 6.89471935, 25.3044736, 2.103299283E-03, -2.0918677E-03, 1.17765914, 1.314432819E-02, 7.280258425E-02, 6.31487684, 5.518077954E-04, -4.919100854E-04, 0.997210156, 14.6107021, 18.019488
13.4125, 27.8385963, -6.818131691E-02, 18.4327391, 6.96689961, 25.750088, 2.15004512E-03, -2.025444413E-03, 1.19818808, 6.103929464E-02, 6.907609803E-02, 6.34144881, 5.579218737E-04, -3.659261609E-04, 1.0183248, 14.124749, 19.2085366
13.9125, 27.8385963, -6.81736611E-02, 18.2961401, 6.90963923, 25.5531598, 2.164307629E-03, -2.049368771E-03, 1.19605953, 5.45572364E-02, 7.755749193E-02, 6.33357392, 5.577121889E-04, -3.723743614E-04, 1.01853563, 14.1325458, 19.1517117
14.4125, 26.8687477, -6.844540538E-02, 18.6452624, 6.9621114, 25.8949719, 2.205255159E-03, -1.993450855E-03, 1.21199485, 9.347500275E-02, 7.44341942E-02, 6.36486439, 5.633920588E-04, -2.670417279E-04, 1.03523785, 13.7322152, 20.1258444
14.9125, 26.8687477, -6.843836735E-02, 18.5144673, 6.90840362, 25.7083577, 2.219212939E-03, -2.012640388E-03, 1.2099977, 8.683101855E-02, 8.251555319E-02, 6.35776634, 5.632182835E-04, -2.740328412E-04, 1.03541388, 13.739481, 20.0716668
15.4125, 26.0649261, -6.867915265E-02, 18.7849182, 6.94550618, 25.9678168, 2.255272604E-03, -1.964966816E-03, 1.22243245, 0.118314825, 8.01285795E-02, 6.3901214, 5.683649323E-04, -1.854831662E-04, 1.04873001, 13.4088064, 20.8713083
15.9125, 26.0649261, -6.867269353E-02, 18.6601952, 6.89523304, 25.7914634, 2.268858386E-03, -1.980509668E-03, 1.22056247, 0.111614652, 8.779896394E-02, 6.38374706, 5.682277865E-04, -1.92510094E-04, 1.04887463, 13.4155655, 20.8197916
16.4125, 25.3972206, -6.888316397E-02, 18.8680753, 6.9203707, 25.9855958, 2.300781785E-03, -1.940054337E-03, 1.23031584, 0.136921241, 8.62057933E-02, 6.41480333, 5.728004295E-04, -1.183179086E-04, 1.05957501, 13.1418281, 21.4771479
16.9125, 25.3972206, -6.887724365E-02, 18.7495457, 6.87339395, 25.8193274, 2.313948509E-03, -1.952682498E-03, 1.22856797, 0.130247275, 9.346111258E-02, 6.40910737, 5.7269983E-04, -1.250530465E-04, 1.05969137, 13.1481084, 21.4282735
17.4125, 24.841547, -6.905918768E-02, 18.9075893, 6.88923974, 25.9616517, 2.342355329E-03, -1.918785616E-03, 1.23625513, 0.150419891, 9.265271169E-02, 6.43749159, 5.767000794E-04, -6.336519987E-05, 1.0683556, 12.9210989, 21.9691754
17.9125, 24.841547, -6.905376622E-02, 18.7952631, 6.84540838, 25.805202, 2.355070932E-03, -1.929030778E-03, 1.23462373, 0.143835828, 9.949435537E-02, 6.43243311, 5.766351952E-04, -6.959677863E-05, 1.06844666, 12.9269273, 21.922899
18.4125, 24.3783894, -6.920962593E-02, 18.9135766, 6.85406255, 25.9064701, 2.380471329E-03, -1.90095201E-03, 1.24070771, 0.159753532, 9.940916463E-02, 6.4575008, 5.800940361E-04, -1.867991533E-05, 1.07551217, 12.7384045, 22.3681902
18.9125, 24.3783894, -6.920466454E-02, 18.8073813, 6.81321873, 25.7595088, 2.392716356E-03, -1.909182229E-03, 1.23918682, 0.153308052, 0.105843101, 6.45304079, 5.800633944E-04, -2.427638572E-05, 1.07558065, 12.7438102, 22.3244457
