Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.818871, -0.116651825, -37.6353493, -6.03020722, 40.6030287, 2.267122668E-03, 8.739449885E-03, -2.89226382, -8.95991243, -3.01868366, 32.4016664, 2.381855792E-03, -7.50176642E-03, -2.92490829, 61.4394479, -86.1595135
0.2, 119.491859, -0.113576661, -36.479602, -5.59254878, 39.1621872, 2.199722232E-03, 8.857146976E-03, -2.79181883, -8.86891586, -2.89987719, 31.6445833, 2.335679136E-03, -7.204552783E-03, -2.83064723, 60.1668835, -83.2073631
0.35, 116.661736, -0.106144186, -32.7528245, -4.28310851, 34.6361118, 1.971360918E-03, 7.860463692E-03, -2.4663755, -8.52718402, -2.53006973, 29.2145895, 2.179066126E-03, -6.328196274E-03, -2.52206343, 56.4623251, -74.999753
0.575, 102.912598, -9.256203439E-02, -22.3176178, -1.00198301, 22.7160707, 1.378176521E-03, 4.749768493E-03, -1.59091511, -7.19361246, -1.6457486, 22.597261, 1.733279324E-03, -5.008795178E-03, -1.68070934, 47.3550968, -55.3811459
0.9125, 102.912598, -9.255947489E-02, -22.2391265, -1.05370688, 22.6516406, 1.394302328E-03, 4.923703211E-03, -1.59116247, -7.13672051, -1.63258832, 22.5274413, 1.734256101E-03, -5.048442963E-03, -1.67991295, 47.3570709, -55.3621349
1.4125, 88.0011063, -8.392974672E-02, -12.6809519, 1.71012949, 13.2912854, 1.023354589E-03, 2.376008299E-03, -0.834954172, -5.61146671, -0.957702793, 16.8085417, 1.342661463E-03, -3.803536193E-03, -0.946679255, 39.5233612, -38.6792126
1.9125, 88.0011063, -8.392449207E-02, -12.6401101, 1.6210257, 13.1998051, 1.033066858E-03, 2.383397975E-03, -0.836098797, -5.55140287, -0.940992914, 16.7328279, 1.342956959E-03, -3.797740754E-03, -0.94576087, 39.5282793, -38.6807143
2.4125, 75.3616714, -7.923835211E-02, -5.15078911, 3.69096154, 10.0861744, 9.821584868E-04, 1.814919611E-03, -0.274754139, -4.15982984, -0.531417048, 12.6051145, 1.051068417E-03, -3.303202521E-03, -0.398758272, 33.5190191, -25.8980849
2.9125, 75.3616714, -7.923142618E-02, -5.16664717, 3.59492791, 9.88982096, 9.859135873E-04, 8.538051718E-04, -0.276801427, -4.11885651, -0.516971568, 12.5529783, 1.050602867E-03, -2.261629757E-03, -0.398227377, 33.5260611, -25.9733912
3.4125, 65.1478577, -7.686714222E-02, 0.634633912, 5.14501956, 12.6332536, 1.092751808E-03, 4.939706209E-04, 0.135234466, -2.91922803, -0.277131744, 9.60633489, 8.377844937E-04, -1.650965954E-03, 4.889468187E-03, 28.9068508, -16.1698661
3.9125, 65.1478577, -7.685833401E-02, 0.577933322, 5.04711551, 12.3909161, 1.097524692E-03, 3.612598125E-05, 0.133154923, -2.89513152, -0.26261643, 9.5684657, 8.367789366E-04, -1.026811157E-03, 5.500890568E-03, 28.9150648, -16.2313282
4.4125, 57.0173149, -7.586668284E-02, 5.0678191, 6.21277365, 16.0761256, 1.240886403E-03, -2.643286091E-04, 0.435848877, -1.88535486, -0.129882707, 7.48140621, 6.907948306E-04, -3.725835159E-04, 0.302718145, 25.3389454, -8.65167429
4.9125, 57.0173149, -7.585705576E-02, 4.98241794, 6.11514472, 15.8245566, 1.248256995E-03, -4.877254108E-04, 0.433754651, -1.87390569, -0.115506317, 7.45484599, 6.89913322E-04, 5.695013202E-06, 0.303335405, 25.3476744, -8.70643959
5.4125, 50.5555267, -7.566512914E-02, 8.47080962, 6.99686594, 19.1170228, 1.397577239E-03, -7.160174909E-04, 0.657636832, -1.0327364, -4.926968853E-02, 6.00027613, 6.032338357E-04, 6.110892741E-04, 0.523965923, 22.5534801, -2.78781212
5.9125, 50.5555267, -7.565531177E-02, 8.3657417, 6.90104333, 18.8635001, 1.408081901E-03, -8.27296377E-04, 0.65555145, -1.03087406, -3.509881953E-02, 5.98214082, 6.02994368E-04, 8.49344621E-04, 0.524549884, 22.5623159, -2.83955139
6.4125, 45.3992348, -7.59122485E-02, 11.0915623, 7.57213207, 21.5817704, 1.554370144E-03, -9.90825615E-04, 0.822770669, -0.333381742, -9.143822992E-03, 5.007382, 5.542251684E-04, 1.380372264E-03, 0.689980447, 20.3577957, 1.82772921
6.9125, 45.3992348, -7.590259462E-02, 10.9735405, 7.47917531, 21.3299024, 1.567840296E-03, -1.045624837E-03, 0.820718386, -0.338811538, 4.789920873E-03, 4.99508789, 5.543177271E-04, 1.536742371E-03, 0.690513838, 20.3664913, 1.77752033
7.4125, 41.2592239, -7.639312286E-02, 13.1164677, 7.99287952, 23.520225, 1.701810016E-03, -1.157081492E-03, 0.947023792, 0.238290255, 7.287603368E-03, 4.38985649, 5.326078669E-04, 1.993105072E-03, 0.816003229, 18.6108775, 5.49194117
7.9125, 41.2592239, -7.638383544E-02, 12.9904842, 7.90348869, 23.2726496, 1.717431538E-03, -1.182395966E-03, 0.945024653, 0.227338489, 2.094735777E-02, 4.3811754, 5.328483178E-04, 2.100003876E-03, 0.816479895, 18.6192889, 5.4427661
8.4125, 37.9130478, -7.69771255E-02, 14.6846805, 8.29857505, 25.02318, 1.835086226E-03, -1.254310955E-03, 1.04154459, 0.704234798, 1.065957737E-02, 4.04526538, 5.311701849E-04, 2.489379727E-03, 0.912833592, 17.209168, 8.42325297
8.9125, 37.9130478, -7.696831797E-02, 14.5544523, 8.21318924, 24.7819221, 1.852101502E-03, -1.263874019E-03, 1.03961352, 0.689148528, 2.399885583E-02, 4.03827055, 5.315648944E-04, 2.565368453E-03, 0.913253005, 17.2172112, 8.37505484
9.4125, 35.1912994, -7.758658386E-02, 15.9002739, 8.5180552, 26.177242, 1.953975676E-03, -1.306888422E-03, 1.11421989, 1.08283081, 7.574670863E-03, 3.87869717, 5.405883705E-04, 2.896993733E-03, 0.98812622, 16.0759981, 10.7837641
9.9125, 35.1912994, -7.757831361E-02, 15.7685654, 8.43692124, 25.9438037, 1.971832815E-03, -1.307930088E-03, 1.11236714, 1.0647065, 2.054306527E-02, 3.87189355, 5.41144185E-04, 2.953011916E-03, 0.988490638, 16.0836308, 10.7366596
10.4125, 32.9648209, -7.817710236E-02, 16.8415717, 8.6725477, 27.0549287, 2.059897482E-03, -1.330504251E-03, 1.17065911, 1.3893169, 2.014966633E-03, 3.81798495, 5.543872506E-04, 3.235515273E-03, 1.04733485, 15.1540025, 12.6950949
10.9125, 32.9648209, -7.816939088E-02, 16.7104315, 8.59577504, 26.830374, 2.078198605E-03, -1.326915881E-03, 1.16889118, 1.36902421, 1.456423885E-02, 3.81049221, 5.550785182E-04, 3.278236792E-03, 1.04764789, 15.1612056, 12.64925
