Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.784691, -0.126086265, -35.2918905, -5.13089388, 37.6330975, 2.070890844E-03, 2.455108378E-02, -2.75814136, -5.48286209, -2.17521702, 27.9951468, 1.919165801E-03, -3.141774597E-03, -2.80780463, 62.3240862, -95.4126899
0.2, 119.368301, -0.122557847, -34.0851318, -4.70584706, 36.1680297, 2.003256007E-03, 2.385220542E-02, -2.65356345, -5.43921837, -2.08186362, 27.3117831, 1.879280955E-03, -3.132167641E-03, -2.71019436, 60.9277029, -91.8401637
0.35, 115.97007, -0.114010168, -30.1987435, -3.4458746, 31.5749008, 1.776757945E-03, 2.090436338E-02, -2.31641888, -5.25847189, -1.79315955, 25.1477436, 1.746860678E-03, -2.823395733E-03, -2.39164064, 56.9154391, -82.0533106
0.575, 100.639977, -9.853462853E-02, -19.4580747, -0.330713897, 19.6659311, 1.209415559E-03, 1.338360289E-02, -1.4220521, -4.48112357, -1.11195652, 19.3139058, 1.378028246E-03, -2.606309785E-03, -1.53366031, 47.3229818, -59.271305
0.9125, 100.639977, -9.853091946E-02, -19.3964077, -0.380314287, 19.6107258, 1.222832371E-03, 1.338130685E-02, -1.42255427, -4.43825729, -1.10505805, 19.258818, 1.378301014E-03, -2.598014497E-03, -1.53293122, 47.325366, -59.2589972
1.4125, 84.7247162, -8.883276087E-02, -9.76894707, 2.19893005, 10.9176368, 9.345996893E-04, 7.232203297E-03, -0.665619752, -3.50556209, -0.612976206, 14.3746798, 1.066899027E-03, -1.994478644E-03, -0.799424415, 39.293396, -40.3820227
1.9125, 84.7247162, -8.882514427E-02, -9.75291621, 2.11282199, 10.8193133, 9.410447877E-04, 7.236010699E-03, -0.667115967, -3.46157588, -0.602351384, 14.3139045, 1.066595771E-03, -1.983912485E-03, -0.798456397, 39.2995901, -40.3903595
2.4125, 71.6789474, -8.366996247E-02, -2.36687342, 4.01100179, 10.1042261, 9.834625543E-04, 4.427427004E-03, -0.116834576, -2.59274223, -0.328329106, 10.9287736, 8.455058078E-04, -1.921914722E-03, -0.262126869, 33.2886906, -26.2671426
2.9125, 71.6789474, -8.365997223E-02, -2.40718765, 3.91763764, 9.88508169, 9.869251985E-04, 3.0626958E-03, -0.119250998, -2.56329987, -0.317778013, 10.8863609, 8.448092902E-04, -8.771417316E-04, -0.261442892, 33.2974405, -26.3579666
3.4125, 61.4315262, -8.114587287E-02, 3.19722013, 5.31334069, 13.6684132, 1.139490587E-03, 1.065614093E-03, 0.276320633, -1.80819495, -0.177174563, 8.57405796, 6.908007757E-04, -5.533001629E-04, 0.125986666, 28.7823858, -15.7645828
3.9125, 61.4315262, -8.113381496E-02, 3.11840479, 5.21785791, 13.4210983, 1.145128955E-03, 4.080542427E-04, 0.273848312, -1.79189762, -0.165174226, 8.54197665, 6.897504307E-04, 5.672299684E-05, 0.126726379, 28.7922564, -15.8396028
4.4125, 53.4747581, -8.015901703E-02, 7.37050756, 6.24786188, 17.2296875, 1.31104785E-03, -1.002537395E-03, 0.55846736, -1.15431298, -0.104618681, 6.98097429, 5.878884124E-04, 6.084219849E-04, 0.40678542, 25.3714952, -7.81836339
4.9125, 53.4747581, -8.014611143E-02, 7.26553402, 6.15260101, 16.9744581, 1.319687439E-03, -1.448264697E-03, 0.555990888, -1.14774998, -9.175686132E-02, 6.95680476, 5.868737423E-04, 8.650724818E-04, 0.407525582, 25.3814859, -7.88579528
