Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.769821, -9.171196613E-02, -34.5277497, -4.86293735, 36.6451811, 2.042778886E-03, -4.505225452E-03, -2.55411671, -5.64492173, -2.18764006, 27.2078437, 1.896938844E-03, 1.623429354E-04, -2.51014487, 58.7388873, -89.2657961
0.2, 119.33326, -8.98887789E-02, -33.6485875, -4.56671014, 35.594003, 1.996394571E-03, -4.15867324E-03, -2.48209593, -5.57668715, -2.14350612, 26.7925737, 1.872756684E-03, 2.593161704E-04, -2.44615613, 57.7384152, -86.6915867
0.35, 116.111496, -8.536026821E-02, -30.6485666, -3.63537171, 32.0842211, 1.823545398E-03, -3.734505638E-03, -2.22925246, -5.33445588, -1.98457496, 25.3546485, 1.78228014E-03, 4.285326415E-04, -2.21750322, 54.7444835, -79.2968104
0.575, 102.297379, -7.603931108E-02, -21.7758294, -1.12289138, 22.1566684, 1.333185563E-03, -3.178961609E-03, -1.49617336, -4.52309157, -1.51566632, 21.0105809, 1.497799942E-03, -2.013714489E-04, -1.54402075, 47.0577722, -60.6869043
0.9125, 102.297379, -7.60365434E-02, -21.69799, -1.16563546, 22.091372, 1.348996467E-03, -3.384753807E-03, -1.49672793, -4.47922775, -1.50751106, 20.9542137, 1.498569884E-03, -3.290903361E-05, -1.54342953, 47.060256, -60.6793298
1.4125, 87.871994, -6.900086854E-02, -13.2842829, 1.08788498, 13.5984625, 1.006140914E-03, -3.033557621E-03, -0.833207806, -3.65242964, -1.05866548, 16.8605131, 1.232172392E-03, -1.385806378E-03, -0.928952221, 40.2019796, -44.155199
1.9125, 87.871994, -6.899535283E-02, -13.2388303, 1.0121235, 13.5271832, 1.017215068E-03, -3.239118149E-03, -0.834870398, -3.60473688, -1.04626071, 16.7943691, 1.232463227E-03, -1.199399408E-03, -0.928239241, 40.2081347, -44.1659372
2.4125, 75.7303238, -6.449056969E-02, -6.61346707, 2.75908001, 9.14904914, 9.319163469E-04, -2.684633952E-03, -0.338026486, -2.87819469, -0.753762477, 13.8825717, 1.040493493E-03, -1.949197627E-03, -0.466623874, 34.7699356, -31.1600392
2.9125, 75.7303238, -6.448395821E-02, -6.6211424, 2.67585191, 9.01631319, 9.36000275E-04, -2.799048162E-03, -0.34021357, -2.84462828, -0.74086495, 13.830187, 1.040193484E-03, -1.826146915E-03, -0.466007501, 34.7778692, -31.1847179
3.4125, 65.848938, -6.161980654E-02, -1.45969143, 4.02494248, 10.0872215, 1.013937999E-03, -1.756303635E-03, 2.778876875E-02, -2.23202103, -0.553753128, 11.7899681, 9.045977218E-04, -2.772764673E-03, -0.123449003, 30.4683189, -20.8973861
3.9125, 65.848938, -6.161103987E-02, -1.50763083, 3.93675292, 9.87482449, 1.01752494E-03, -2.340467903E-03, 2.501873676E-02, -2.20906057, -0.540557994, 11.7490835, 9.039001969E-04, -2.160344879E-03, -0.12299876, 30.4779692, -20.967074
4.4125, 57.8783493, -5.982213176E-02, 2.50769254, 4.97852504, 12.757121, 1.143197221E-03, -1.585303129E-03, 0.297195928, -1.70028747, -0.423658645, 10.3340218, 8.098770386E-04, -2.739643661E-03, 0.130895798, 27.0497236, -12.8235606
4.9125, 57.8783493, -5.981256294E-02, 2.43172215, 4.88860808, 12.5245391, 1.148398507E-03, -1.939245284E-03, 0.294347057, -1.685948, -0.409935988, 10.3004921, 8.088324994E-04, -2.350908866E-03, 0.131366989, 27.0601225, -12.8877356
5.4125, 51.4487953, -5.872949051E-02, 5.56347665, 5.6947345, 15.3206503, 1.277814246E-03, -1.392818923E-03, 0.496496237, -1.26603113, -0.339027118, 9.32774567, 7.456200817E-04, -2.720108583E-03, 0.320393589, 24.3180599, -6.40236953
5.9125, 51.4487953, -5.871970044E-02, 5.46790276, 5.6047984, 15.0807125, 1.284915358E-03, -1.610371801E-03, 0.493624164, -1.25821217, -0.325087783, 9.30009014, 7.443885967E-04, -2.467215742E-03, 0.320852049, 24.3287182, -6.46368904
6.4125, 46.245491, -5.809710858E-02, 7.9200503, 6.22999249, 17.4646497, 1.405754547E-03, -1.213043463E-03, 0.644727644, -0.912424145, -0.283869049, 8.63859338, 7.054063363E-04, -2.711130731E-03, 0.462573166, 22.122901, -1.26771154
6.9125, 46.245491, -5.808744514E-02, 7.81127157, 6.14132433, 17.2227691, 1.414628285E-03, -1.347517464E-03, 0.641877991, -0.909582879, -0.269912048, 8.61551585, 7.043176934E-04, -2.542227264E-03, 0.463001418, 22.1335049, -1.32732483
7.4125, 42.0168762, -5.776157313E-02, 9.73909541, 6.6270407, 19.1749688, 1.523735651E-03, -1.055798545E-03, 0.75566858, -0.62509126, -0.247466857, 8.17191344, 6.844193752E-04, -2.708132407E-03, 0.570137401, 20.349369, 2.85894999
7.9125, 42.0168762, -5.775224692E-02, 9.62196355, 6.54058586, 18.9347059, 1.534117145E-03, -1.138789551E-03, 0.752876489, -0.62605776, -0.233637912, 8.15238484, 6.837258386E-04, -2.592301665E-03, 0.570527121, 20.3597155, 2.80065531
8.4125, 38.5657883, -5.761392854E-02, 11.1431104, 6.91824521, 20.50728, 1.63095851E-03, -9.218069132E-04, 0.839242321, -0.392129685, -0.222714675, 7.86020874, 6.751587172E-04, -2.707630777E-03, 0.652238761, 18.9094849, 6.19034597
8.9125, 38.5657883, -5.760506399E-02, 11.0213017, 6.83467983, 20.271278, 1.642516012E-03, -9.724957591E-04, 0.836533677, -0.395998052, -0.209128982, 7.84345726, 6.74732967E-04, -2.626094245E-03, 0.652586831, 18.9194489, 6.13334822
9.4125, 35.7381744, -5.758191149E-02, 12.2250809, 7.12819213, 21.5279446, 1.727587702E-03, -8.086670372E-04, 0.902601481, -0.203783567, -0.204967865, 7.65542865, 6.721489691E-04, -2.707481277E-03, 0.715474024, 17.7354579, 8.8900158
9.9125, 35.7381744, -5.757357666E-02, 12.1013689, 7.04798136, 21.298184, 1.739983646E-03, -8.389202424E-04, 0.899994475, -0.209843109, -0.191718568, 7.6408944, 6.718892565E-04, -2.648593214E-03, 0.715780251, 17.7449646, 8.8344491
10.4125, 33.4132843, -5.761800874E-02, 13.0559381, 7.27564833, 22.2974876, 1.814306326E-03, -7.132350549E-04, 0.950920965, -5.207208862E-02, -0.191246421, 7.52354273, 6.726322565E-04, -2.706554249E-03, 0.764614935, 16.774652, 11.084656
10.9125, 33.4132843, -5.761023409E-02, 12.9324072, 7.19909276, 22.0754181, 1.827239663E-03, -7.304704914E-04, 0.948427725, -5.976131951E-02, -0.178407916, 7.51082557, 6.724939154E-04, -2.662939303E-03, 0.764880786, 16.783658, 11.030701
11.4125, 31.4959068, -5.769137095E-02, 13.6901359, 7.37501566, 22.8668398, 1.892050276E-03, -6.32507108E-04, 0.987965307, 6.954135271E-02, -0.179685265, 7.44067481, 6.750738652E-04, -2.704379391E-03, 0.803132063, 15.9858609, 12.8732067
11.9125, 31.4959068, -5.768416189E-02, 13.5683354, 7.30228984, 22.6534812, 1.905272195E-03, -6.41420042E-04, 0.985593192, 6.066812232E-02, -0.16731506, 7.42948711, 6.750344244E-04, -2.671267573E-03, 0.803359892, 15.9943492, 12.8210389
