Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.769142, -0.10612968, -32.3288781, -4.37731312, 34.2485317, 1.829738146E-03, 1.091480789E-02, -2.62149087, -4.90983594, -2.25727132, 26.032936, 1.800241327E-03, -5.75021515E-04, -2.64204821, 59.5801888, -89.8452126
0.2, 119.324913, -0.103684023, -31.3835724, -4.06445313, 33.1202223, 1.780900523E-03, 1.08532011E-02, -2.53743222, -4.86062941, -2.20435314, 25.5640892, 1.773451942E-03, -5.486192178E-04, -2.56563094, 58.4485879, -86.9585155
0.35, 115.953873, -9.766928947E-02, -28.2123421, -3.10150696, 29.4238198, 1.60630819E-03, 9.617235123E-03, -2.2515869, -4.68000607, -2.02209744, 23.9951697, 1.677076379E-03, -4.584403892E-04, -2.30159616, 55.1138458, -78.8120928
0.575, 101.350403, -8.583727635E-02, -19.0605035, -0.586685319, 19.295735, 1.138678545E-03, 6.068329213E-03, -1.45159143, -4.0142748, -1.52360496, 19.4670666, 1.388140127E-03, -8.504946581E-04, -1.55022071, 46.7833052, -58.9124774
0.9125, 101.350403, -8.583309018E-02, -18.9979079, -0.62791316, 19.2415079, 1.151529842E-03, 6.21045513E-03, -1.45210899, -3.9699623, -1.51513961, 19.4060354, 1.389005809E-03, -8.794131044E-04, -1.54938848, 46.786202, -58.892163
1.4125, 86.2026901, -7.750717598E-02, -10.5368202, 1.55664486, 11.1149283, 8.785807918E-04, 3.121601932E-03, -0.749743542, -3.23818675, -1.09053809, 15.3745966, 1.133609391E-03, -1.298385217E-03, -0.883361476, 39.5351772, -41.7047307
1.9125, 86.2026901, -7.749964121E-02, -10.5137671, 1.48209164, 11.0455629, 8.858988139E-04, 2.860617971E-03, -0.751657719, -3.18980868, -1.07768752, 15.3035867, 1.133992108E-03, -1.122933593E-03, -0.882458153, 39.542304, -41.7211723
2.4125, 73.6207275, -7.247731287E-02, -3.91362933, 3.14553889, 8.54485257, 8.90068518E-04, 1.294322005E-03, -0.231182474, -2.52409081, -0.816065388, 12.4775685, 9.54410316E-04, -1.194216274E-03, -0.386508985, 33.9240303, -28.4622288
2.9125, 73.6207275, -7.246832781E-02, -3.94249623, 3.06344023, 8.37010819, 8.930309777E-04, 1.129058587E-03, -0.233705494, -2.49052253, -0.802247991, 12.4207072, 9.54097193E-04, -1.06471315E-03, -0.385737832, 33.9332409, -28.4953512
3.4125, 63.5448685, -6.950825526E-02, 1.14736511, 4.32576624, 11.1197428, 1.017664567E-03, 7.925709943E-04, 0.147658718, -1.91892934, -0.646489239, 10.4716838, 8.308970746E-04, -1.444023339E-03, -2.110853572E-02, 29.576664, -18.2126391
3.9125, 63.5448685, -6.949656116E-02, 1.07946331, 4.23894657, 10.8941799, 1.021569837E-03, 2.417218875E-05, 0.144531547, -1.89640141, -0.631919897, 10.4260592, 8.300563503E-04, -8.146188673E-04, -2.048766712E-02, 29.5880318, -18.2912412
4.4125, 55.5542259, -6.783426341E-02, 4.99776258, 5.1971554, 14.2231768, 1.166562364E-03, -2.647793181E-04, 0.423612367, -1.41645241, -0.54393645, 9.09788975, 7.478470769E-04, -9.107913013E-04, 0.247328193, 26.1923351, -10.3001296
4.9125, 55.5542259, -6.782171733E-02, 4.90364415, 5.10893967, 13.9834145, 1.172549341E-03, -7.015279882E-04, 0.420393077, -1.40294474, -0.528604479, 9.05970151, 7.465294908E-04, -5.218189736E-04, 0.247942963, 26.204423, -10.3724245
5.4125, 49.2148247, -6.697281288E-02, 7.92810945, 5.83809727, 16.883442, 1.309921765E-03, -9.335729588E-04, 0.625584506, -1.00414709, -0.48300918, 8.16516245, 6.947153185E-04, -4.894495379E-04, 0.445650313, 23.5390797, -4.11575356
5.9125, 49.2148247, -6.696011302E-02, 7.81622303, 5.75022737, 16.6379471, 1.317974959E-03, -1.187072626E-03, 0.622344949, -0.997421304, -0.467297761, 8.13276263, 6.9308945E-04, -2.418382633E-04, 0.446227075, 23.5513535, -4.18494009
6.4125, 44.1642113, -6.661301989E-02, 10.1604759, 6.30653775, 19.001632, 1.441265341E-03, -1.366781805E-03, 0.774295163, -0.66774128, -0.447500333, 7.53918309, 6.680206451E-04, -1.545830661E-04, 0.593332631, 21.4438438, 0.750256234
6.9125, 44.1642113, -6.660057225E-02, 10.0371581, 6.22028334, 18.7552227, 1.451097923E-03, -1.515529463E-03, 0.771091128, -0.666160265, -0.431667866, 7.51118167, 6.668198841E-04, 8.169462828E-06, 0.59385704, 21.4559689, 0.682913183
7.4125, 40.118454, -6.655432213E-02, 11.8620812, 6.64554761, 20.6388835, 1.559208639E-03, -1.651242391E-03, 0.884554865, -0.394436937, -0.426913961, 7.12502102, 6.597635393E-04, 1.150885372E-04, 0.704332212, 19.7777524, 4.60282958
7.9125, 40.118454, -6.654236594E-02, 11.7320738, 6.56180996, 20.3950528, 1.570427241E-03, -1.738688536E-03, 0.88142739, -0.396762573, -0.411155489, 7.10036111, 6.589360686E-04, 2.255714482E-04, 0.70479926, 19.7895193, 4.53697783
8.4125, 36.8596268, -6.666798477E-02, 13.1582018, 6.88714328, 21.8825138, 1.664071493E-03, -1.839114682E-03, 0.966896338, -0.17332039, -0.414569966, 6.85565442, 6.592266391E-04, 3.353361616E-04, 0.788590737, 18.4444957, 7.66991699
8.9125, 36.8596268, -6.665665673E-02, 13.0250447, 6.80654146, 21.6438765, 1.676275296E-03, -1.890052685E-03, 0.963874287, -0.178596599, -0.399040833, 6.83358824, 6.585703192E-04, 4.127350303E-04, 0.789000309, 18.45578, 7.60560568
9.4125, 34.2210579, -6.687231567E-02, 14.1428662, 7.05521391, 22.8131247, 1.756952457E-03, -1.96307197E-03, 1.0288178, 4.739379193E-03, -0.40631912, 6.68391332, 6.624501174E-04, 5.174581923E-04, 0.853193507, 17.3715882, 10.1231981
9.9125, 34.2210579, -6.686168652E-02, 14.0091909, 6.97815194, 22.5816037, 1.769790879E-03, -1.991952434E-03, 1.02592051, -2.739979822E-03, -0.391143757, 6.66393575, 6.619122843E-04, 5.73339306E-04, 0.853547937, 17.3823185, 10.0606279
10.4125, 32.0747871, -6.711642156E-02, 14.8870364, 7.16768087, 23.4977047, 1.839240971E-03, -2.044139537E-03, 1.07568046, 0.147326304, -0.399671135, 6.57687441, 6.675254959E-04, 6.695779305E-04, 0.903211271, 16.5039959, 12.0931106
10.9125, 32.0747871, -6.710651868E-02, 14.7547833, 7.0944016, 23.2746626, 1.852430807E-03, -2.059553141E-03, 1.07291992, 0.138232074, -0.384947628, 6.55865427, 6.670866141E-04, 7.111083264E-04, 0.903514172, 16.5141358, 12.0325097
11.4125, 30.3218956, -6.736947997E-02, 15.4446357, 7.23807534, 23.9899055, 1.91233561E-03, -2.096189286E-03, 1.1113417, 0.260723965, -0.393210326, 6.51187646, 6.733622426E-04, 7.976425573E-04, 0.94229644, 15.7995317, 13.6796774
11.9125, 30.3218956, -6.736030227E-02, 15.3152175, 7.16869991, 23.7762607, 1.925656507E-03, -2.103316147E-03, 1.10872449, 0.25047947, -0.379013393, 6.49519555, 6.730115518E-04, 8.293677471E-04, 0.942551908, 15.8090695, 13.6212478
12.4125, 28.8853207, -6.761363868E-02, 15.8569524, 7.27667483, 24.3321075, 1.977511499E-03, -2.128483417E-03, 1.13859817, 0.350134396, -0.386202243, 6.47358647, 6.793272504E-04, 9.061140293E-04, 0.973100727, 15.2255566, 14.9603118
12.9125, 28.8853207, -6.76051667E-02, 15.7313805, 7.21123512, 24.1284287, 1.990795699E-03, -2.130505746E-03, 1.13612676, 0.339106867, -0.372586151, 6.4582963, 6.79056742E-04, 9.309757411E-04, 0.973312998, 15.2344957, 14.9042136
13.4125, 27.7045174, -6.78393213E-02, 16.155841, 7.29133453, 24.5576434, 2.035878208E-03, -2.147300433E-03, 1.15949466, 0.419864621, -0.378334009, 6.45182215, 6.850651797E-04, 9.984196914E-04, 0.997566848, 14.7565815, 15.9954627
13.9125, 27.7045174, -6.783152416E-02, 16.034816, 7.22979502, 24.3642241, 2.048999533E-03, -2.14618431E-03, 1.15716855, 0.408344198, -0.365335415, 6.43781467, 6.848678605E-04, 1.018374321E-03, 0.997740086, 14.7649357, 15.9418026
14.4125, 26.7315445, -6.804213644E-02, 16.3660497, 7.28808928, 24.6927164, 2.088379569E-03, -2.156926304E-03, 1.17553985, 0.473480094, -0.36954403, 6.4399554, 6.903921425E-04, 1.077267882E-03, 1.01713212, 14.3725343, 16.8327237
14.9125, 26.7315445, -6.80349767E-02, 16.2500356, 7.23036495, 24.5096418, 2.101244428E-03, -2.15390353E-03, 1.17335641, 0.461695487, -0.357184677, 6.42714517, 6.902613641E-04, 1.093645894E-03, 1.01727031, 14.3803243, 16.7815629
15.4125, 25.9281654, -6.822085594E-02, 16.5069342, 7.27159264, 24.7579607, 2.13581027E-03, -2.160291297E-03, 1.18785732, 0.51393294, -0.359911565, 6.43376153, 6.952290393E-04, 1.144842926E-03, 1.03287101, 14.0574825, 17.5098482
15.9125, 25.9281654, -6.821429283E-02, 16.3962133, 7.21756528, 24.585157, 2.148350283E-03, -2.156150356E-03, 1.18581236, 0.502063577, -0.348201083, 6.42207513, 6.951585056E-04, 1.158544281E-03, 1.03297788, 14.0647341, 17.4612068
16.4125, 25.2636776, -6.837582859E-02, 16.5937978, 7.24547474, 24.769755, 2.178842976E-03, -2.160158572E-03, 1.19730169, 0.543612001, -0.349531834, 6.43036446, 6.995444596E-04, 1.202196436E-03, 1.045605, 13.7986902, 18.0570095
16.9125, 25.2636776, -6.836982034E-02, 16.4885108, 7.19500102, 24.6070275, 2.191009715E-03, -2.155390429E-03, 1.19539001, 0.53179801, -0.3384702, 6.41973553, 6.995281411E-04, 1.213857616E-03, 1.04568397, 13.8054318, 18.0108767
17.4125, 24.7132893, -6.850833442E-02, 16.6387785, 7.21256023, 24.7410942, 2.218045562E-03, -2.158571642E-03, 1.20452672, 0.564489237, -0.338526393, 6.42790835, 7.033413839E-04, 1.250150381E-03, 1.05596645, 13.5859176, 18.4984652
17.9125, 24.7132893, -6.850283959E-02, 16.5389608, 7.16548113, 24.588161, 2.229805765E-03, -2.153493421E-03, 1.20274239, 0.552839028, -0.328106265, 6.41827528, 7.03373531E-04, 1.260230344E-03, 1.0560207, 13.5921769, 18.4548013
18.4125, 24.2568722, -6.862051984E-02, 16.6514102, 7.17500769, 24.6821436, 2.253889626E-03, -2.156133135E-03, 1.21002188, 0.578264365, -0.327097749, 6.4255648, 7.06662946E-04, 1.290330595E-03, 1.0644325, 13.4108835, 18.8537735
18.9125, 24.2568722, -6.861549829E-02, 16.557016, 7.1311549, 24.5386603, 2.265222165E-03, -2.150959622E-03, 1.20835858, 0.566860529, -0.317305399, 6.41686599, 7.067381488E-04, 1.299148734E-03, 1.06446491, 13.4166896, 18.8125201
19.4125, 23.8780155, -6.871515591E-02, 16.639119, 7.1344462, 24.6007728, 2.286765543E-03, -2.152251077E-03, 1.21414774, 0.586411639, -0.315511859, 6.4232931, 7.095824589E-04, 1.325022156E-03, 1.07135802, 13.2668571, 19.1387478
19.9125, 23.8780155, -6.871056936E-02, 16.5500464, 7.09364643, 24.4663528, 2.297657993E-03, -2.14710443E-03, 1.21259893, 0.575316157, -0.306328207, 6.41546676, 7.09695498E-04, 1.332826468E-03, 1.07137123, 13.2722387, 19.0998295
20.4125, 23.5632915, -6.879480877E-02, 16.607827, 7.09214607, 24.5032324, 2.317006314E-03, -2.147168847E-03, 1.21718686, 0.590088792, -0.30395241, 6.42106195, 7.121599139E-04, 1.35527916E-03, 1.0770242, 13.1483527, 19.3662495
20.9125, 23.5632915, -6.879062137E-02, 16.5239299, 7.05422503, 24.3774629, 2.327453164E-03, -2.142140892E-03, 1.21574593, 0.579347009, -0.295354827, 6.41404626, 7.123058716E-04, 1.362245403E-03, 1.07702059, 13.1533381, 19.3295808
21.4125, 23.301672, -6.886156194E-02, 16.5623523, 7.04910463, 24.3945638, 2.344901634E-03, -2.141358275E-03, 1.21937031, 0.590223604, -0.292536793, 6.41876351, 7.144401122E-04, 1.381690406E-03, 1.08166392, 13.050876, 19.5468085
21.9125, 23.301672, -6.885774018E-02, 16.4834525, 7.01389004, 24.2770156, 2.354903341E-03, -2.136497203E-03, 1.21803074, 0.579867555, -0.284500444, 6.41249894, 7.146144713E-04, 1.387953544E-03, 1.08164566, 13.0554924, 19.5122992
22.4125, 23.0840816, -6.891728435E-02, 16.5065395, 7.00608363, 24.2787423, 2.370700205E-03, -2.135118587E-03, 1.22088091, 0.587582313, -0.281362021, 6.41637722, 7.164643135E-04, 1.404795653E-03, 1.08546417, 12.9707482, 19.6890452
22.9125, 23.0840816, -6.891379712E-02, 16.4324399, 6.97340661, 24.1689816, 2.38026126E-03, -2.130443441E-03, 1.21963633, 0.577633404, -0.273860557, 6.41080603, 7.166629296E-04, 1.410461678E-03, 1.08543318, 12.9750209, 19.6565964
23.4125, 22.9030323, -6.896363765E-02, 16.4434514, 6.963657, 24.158888, 2.394616501E-03, -2.128634224E-03, 1.22186343, 0.582793871, -0.27050492, 6.41393073, 7.182696014E-04, 1.42507858E-03, 1.08857553, 12.9049361, 19.8000224
23.9125, 22.9030323, -6.89604562E-02, 16.3739389, 6.93335442, 24.0564816, 2.403744366E-03, -2.12417078E-03, 1.22070765, 0.573264814, -0.263511308, 6.40899745, 7.184886081E-04, 1.4302202E-03, 1.08853355, 12.9088907, 19.7695346
24.4125, 22.7523327, -6.900207573E-02, 16.375515, 6.92224967, 24.0374284, 2.416835659E-03, -2.122067997E-03, 1.22243291, 0.576372959, -0.260023996, 6.41147217, 7.198882635E-04, 1.442912471E-03, 1.09111991, 12.8509464, 19.8855355
24.9125, 22.7523327, -6.899917358E-02, 16.3103699, 6.89416423, 23.9419494, 2.425540647E-03, -2.117819374E-03, 1.22135998, 0.567269535, -0.253510864, 6.40712381, 7.201242141E-04, 1.447606103E-03, 1.09106853, 12.8546052, 19.8569085
25.4125, 22.6268597, -6.903385646E-02, 16.3046484, 6.8821702, 23.9162384, 2.437519192E-03, -2.115525541E-03, 1.222681, 0.568739518, -0.249962136, 6.40905547, 7.213483126E-04, 1.458652691E-03, 1.09319665, 12.8067198, 19.9503426
25.9125, 22.6268597, -6.90312093E-02, 16.2436471, 6.85615221, 23.8272705, 2.445813135E-03, -2.111497927E-03, 1.22168524, 0.560062198, -0.243902296, 6.40524178, 7.215980381E-04, 1.462944241E-03, 1.09313724, 12.8101039, 19.9234788
26.4125, 22.5223656, -6.906005826E-02, 16.2323564, 6.84363441, 23.796747, 2.45680785E-03, -2.109090222E-03, 1.2226809, 0.560234695, -0.240348211, 6.4067323, 7.226735198E-04, 1.472579769E-03, 1.09488694, 12.7705536, 19.9983579
26.9125, 22.5223656, -6.905764379E-02, 16.1752771, 6.81954045, 23.7138888, 2.464703798E-03, -2.105263554E-03, 1.22175694, 0.551979701, -0.234714984, 6.40340533, 7.229341823E-04, 1.47651755E-03, 1.09482077, 12.7736852, 19.9731577
