Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.822922, -9.257653615E-02, -35.8605647, -5.37072575, 38.3508946, 2.128125474E-03, 7.037238249E-03, -2.75098491, -8.43339553, -2.35546463, 28.9357831, 2.135641224E-03, -2.445793903E-02, -2.82004785, 59.2779889, -85.3889552
0.2, 119.513153, -9.071227998E-02, -34.9849517, -5.0558292, 37.2815918, 2.081178431E-03, 7.376444307E-03, -2.67661641, -8.32393157, -2.30642795, 28.5024809, 2.108993668E-03, -2.353615436E-02, -2.75010048, 58.2702727, -82.9690431
0.35, 116.930855, -8.606826469E-02, -32.0171384, -4.06341378, 33.7357267, 1.906840356E-03, 7.237565523E-03, -2.41815027, -7.95998255, -2.1160636, 26.9473131, 2.006577884E-03, -2.097756238E-02, -2.50368404, 55.2699285, -76.0396617
0.575, 104.424606, -7.66183E-02, -23.0740188, -1.36328553, 23.5637832, 1.402070525E-03, 4.502168564E-03, -1.65517146, -6.74845275, -1.52105148, 21.9857926, 1.667188805E-03, -1.610029733E-02, -1.76512025, 47.548811, -58.5649518
0.9125, 104.424606, -7.661644064E-02, -22.9915385, -1.40958114, 23.4968567, 1.419011858E-03, 4.304681715E-03, -1.65553507, -6.69572601, -1.5103921, 21.9247763, 1.667981167E-03, -1.59253269E-02, -1.76441923, 47.5503368, -58.5577536
1.4125, 90.6291122, -6.962636864E-02, -14.3389568, 1.03575359, 14.6391359, 1.051011133E-03, 7.982392131E-04, -0.949251996, -5.44335192, -0.922187581, 17.0696803, 1.337659674E-03, -1.300687577E-02, -1.0745867, 40.6244526, -42.9769006
1.9125, 90.6291122, -6.962228278E-02, -14.2867804, 0.955479477, 14.5630747, 1.063229173E-03, 6.10410171E-04, -0.95053552, -5.38600968, -0.907983598, 17.0008476, 1.337887823E-03, -1.281204929E-02, -1.07376351, 40.6289835, -42.9843752
2.4125, 78.6571884, -6.529091233E-02, -7.34055392, 2.86403116, 9.78949661, 9.495298975E-04, -2.010877362E-03, -0.40998587, -4.26917493, -0.507038074, 13.3776755, 1.085507215E-03, -1.038954643E-02, -0.543326388, 35.111043, -30.6610076
2.9125, 78.6571884, -6.528580585E-02, -7.34241799, 2.77716191, 9.65502324, 9.541327226E-04, -2.107082758E-03, -0.411734679, -4.22917728, -0.493806675, 13.3264838, 1.085114929E-03, -1.025973994E-02, -0.542639604, 35.1172447, -30.680135
3.4125, 68.7285233, -6.265323887E-02, -1.84434118, 4.26025236, 10.5306777, 1.017132936E-03, -3.713427965E-03, -3.66264148E-03, -3.27563655, -0.224497522, 10.6644432, 8.964592331E-04, -8.894680251E-03, -0.140842699, 30.7270889, -20.8944346
3.9125, 68.7285233, -6.264616631E-02, -1.8873083, 4.16930234, 10.3151813, 1.021031103E-03, -4.157981381E-03, -5.965604404E-03, -3.24902561, -0.212052986, 10.6279937, 8.957048753E-04, -8.25735945E-03, -0.140386379, 30.7349396, -20.9507994
4.4125, 60.6170998, -6.110964E-02, 2.44992825, 5.32190511, 13.3781898, 1.140632643E-03, -5.47940879E-03, 0.301155499, -2.4492317, -3.365464928E-02, 8.68759109, 7.586610854E-04, -7.144103815E-03, 0.163029489, 27.2295237, -13.170406
